gcn,nba,62.07 += 0.27,6.77 += 0.27999999999999997,8.459999999999999 += 0.11
gcn,income,64.64999999999999 += 1.9,35.11 += 0.7100000000000001,40.35 += 0.8
gcn,bail,85.21 += 0.16,8.42 += 0.03,5.46 += 0.03
gcn,pokec2,58.91 += 0.03,5.08 += 0.06999999999999999,5.64 += 0.19
gcn,pokec1,62.41 += 0.03,3.27 += 0.03,2.9899999999999998 += 0.05
sage,income,82.35 += 0.01,19.41 += 0.31,23.119999999999997 += 1.63
sage,nba,73.15 += 0.01,8.35 += 0.21,7.68 += 0.33999999999999997
sage,bail,87.57000000000001 += 0.01,8.18 += 0.06999999999999999,6.35 += 0.15
sage,pokec1,62.27 += 0.1,3.19 += 0.04,4.2 += 0.05
sage,pokec2,59.9 += 0.02,5.489999999999999 += 0.05,4.01 += 0.01
gat,income,79.23 += 0.04,23.990000000000002 += 0.18,30.8 += 0.7799999999999999
gat,nba,61.6 += 0.26,5.89 += 0.02,8.36 += 0.5
gat,pokec2,59.57 += 0.0,4.64 += 0.08,4.17 += 0.03
gat,bail,88.56 += 0.03,7.6499999999999995 += 0.0,5.63 += 0.03
gat,pokec1,63.12 += 0.02,2.9000000000000004 += 0.05,3.93 += 0.02
gcn,pokec1,62.38 += 0.02,2.46 += 0.02,4.109999999999999 += 0.01
gcn,pokec1,62.64999999999999 += 0.03,2.65 += 0.03,3.1300000000000003 += 0.01
gcn,income,68.34 += 1.9,37.25 += 4.8,48.29 += 4.8
gcn,pokec1,62.629999999999995 += 0.04,1.68 += 0.01,2.25 += 0.02
gcn,income,61.41 += 3.74,31.900000000000002 += 2.4899999999999998,40.550000000000004 += 4.18
gcn,income,61.41 += 3.1300000000000003,34.54 += 1.79,43.980000000000004 += 3.25
gcn,income,61.919999999999995 += 1.4000000000000001,28.57 += 1.8399999999999999,30.680000000000003 += 3.94
gcn,income,61.029999999999994 += 3.5999999999999996,31.979999999999997 += 2.1,37.43 += 3.26
gcn,income,66.93 += 0.41000000000000003,27.389999999999997 += 1.58,25.8 += 2.29
gcn,income,71.39 += 0.27,24.62 += 2.44,27.77 += 2.4299999999999997
gcn,bail,85.74000000000001 += 0.1,8.67 += 0.03,5.48 += 0.03
gcn,pokec2,59.64 += 0.01,5.3 += 0.09,6.12 += 0.22
gcn,pokec1,62.59 += 0.01,2.9499999999999997 += 0.0,3.4799999999999995 += 0.06
gcn,nba,60.940000000000005 += 0.09,4.92 += 0.04,8.15 += 0.43
sage,income,82.28999999999999 += 0.02,17.62 += 0.52,18.2 += 1.6199999999999999
sage,nba,74.08 += 0.02,7.000000000000001 += 0.08,6.529999999999999 += 0.26
sage,bail,86.96000000000001 += 0.03,7.66 += 0.04,5.42 += 0.09
sage,pokec2,59.37 += 0.03,2.2399999999999998 += 0.03,3.15 += 0.09
sage,pokec1,63.11 += 0.05,2.7 += 0.02,3.9800000000000004 += 0.02
gat,nba,57.089999999999996 += 0.16999999999999998,10.8 += 0.53,12.09 += 0.8200000000000001
gat,pokec1,62.06 += 0.01,2.78 += 0.01,2.06 += 0.01
gat,income,77.77 += 0.06999999999999999,28.38 += 1.03,41.23 += 2.85
gat,bail,87.8 += 0.06999999999999999,8.53 += 0.05,5.89 += 0.08
gat,pokec2,59.51 += 0.01,4.77 += 0.06999999999999999,4.72 += 0.03
gat,pokec2,59.51 += 0.01,4.77 += 0.06999999999999999,4.72 += 0.03
gat,pokec2,59.51 += 0.01,4.77 += 0.06999999999999999,4.72 += 0.03
