16,256,0.01,0.05,0.3,pokec_n,2,0.6173238526179703
256,128,0.001,0.05,0.3,pokec_n,3,0.6063348416289592
16,16,0.01,0.05,0.3,pokec_n,4,0.6140917905623788,GCN
128,256,0.01,0.05,0.5,pokec_n,5,0.627666451195863,GCN
256,64,0.01,0.05,0.3,pokec_n,1,0.6263736263736264,GCN
256,16,0.01,0.05,0.7,pokec_n,1,0.6302521008403361,GCN
256,256,0.01,0.001,0.3,pokec_n,2,0.6231415643180349,GCN
256,16,0.01,0.001,0.5,pokec_n,3,0.6263736263736264,GCN
256,128,0.01,0.001,0.7,pokec_n,4,0.6296056884292178,GCN
16,16,0.001,0.05,0.3,pokec_n,5,0.6250808015513898,GCN
256,256,0.01,0.05,0.7,pokec_n,1,0.6354234001292824,GCN
256,16,0.01,0.002,0.5,pokec_n,2,0.6302521008403361,GCN
128,64,0.01,0.001,0.5,pokec_n,3,0.6244343891402715,GCN
256,256,0.01,0.05,0.5,pokec_n,4,0.6328377504848093,GCN
256,64,0.01,0.05,0.7,pokec_n,5,0.6341305753070459,GCN
256,256,0.01,0.05,0.7,pokec_n,1,0.627666451195863,GAT
128,16,0.01,0.0001,0.7,pokec_n,2,0.616677440206852,GAT
256,64,0.01,0.05,0.5,pokec_n,3,0.6205559146735617,GAT
16,64,0.01,0.05,0.7,pokec_n,4,0.6173238526179703,GAT
64,64,0.01,0.0001,0.3,pokec_n,5,0.6153846153846154,GAT
256,0.5,80,380,pokec_n,1,0.6341305753070459,fairGNN
128,0.6,160,160,pokec_n,2,0.6283128636069812,fairGNN
128,64,0.01,0.01,0.5,pokec_n,1,0.6192630898513252,NiftyGCN
256,16,0.01,0.01,0.5,pokec_n,2,0.6050420168067226,NiftyGCN
256,0.4,80,20,pokec_n,3,0.643180349062702,fairGNN
256,4,0.01,1e-06,0.3,pokec_n,3,0.6147382029734971,NiftyGCN
256,16,0.01,0.01,0.5,pokec_n,4,0.6186166774402069,NiftyGCN
256,0.5,380,10,pokec_n,4,0.6334841628959276,fairGNN
256,128,0.01,0.0001,0.5,pokec_n,5,0.6218487394957983,NiftyGCN
128,0.6,160,40,pokec_n,5,0.649644473173885,fairGNN
64,256,0.01,0.0001,0.7,pokec_n,1,0.643180349062702,NiftySAGE
64,256,0.01,0.01,0.5,pokec_n,1,0.6218487394957983,NiftyGAT
16,256,0.01,0.001,0.5,pokec_n,2,0.6173238526179703,NiftySAGE
256,4,0.01,0.01,0.5,pokec_n,2,0.6108597285067874,NiftyGAT
16,0.3,0.3,80,1,256,0.001,0.01,pokec_n,1,0.6005171299288946,fairGCN_1
128,128,0.01,1e-06,0.3,pokec_n,3,0.6296056884292178,NiftySAGE
64,256,0.01,0.001,0.5,pokec_n,3,0.6082740788623141,NiftyGAT
64,16,0.001,1e-06,0.7,pokec_n,4,0.632191338073691,NiftySAGE
128,256,0.0001,0.0001,0.3,pokec_n,4,0.6173238526179703,NiftyGAT
64,64,0.01,1e-05,0.7,pokec_n,5,0.6418875242404655,NiftySAGE
16,4,0.01,0.001,0.7,pokec_n,5,0.6108597285067874,NiftyGAT
16,0.5,0.6,10,20,16,0.01,0.01,pokec_n,1,0.6522301228183581,fairGCN_1
128,16,0.01,0.0001,0.3,pokec_n,1,0.6160310277957337,NiftyGCN_RETUNE
64,0.7,0.2,40,20,16,0.01,0.01,pokec_n,2,0.6386554621848739,fairGCN_1
128,128,0.01,0.01,0.5,pokec_n,2,0.6037491919844861,NiftyGCN_RETUNE
128,64,0.01,0.01,0.3,pokec_n,4,0.6082740788623141,NiftyGCN_RETUNE
64,4,0.01,0.0001,0.5,pokec_n,3,0.6095669036845508,NiftyGCN_RETUNE
256,64,0.01,0.0001,0.5,pokec_n,5,0.6218487394957983,NiftyGCN_RETUNE
64,0.3,0.3,80,160,128,0.01,0.002,pokec_n,3,0.6257272139625081,fairGCN_1
16,0.3,0.6,160,1,256,0.01,0.05,pokec_n,4,0.6347769877181642,fairGCN_1
256,0.3,0.2,380,10,64,0.01,0.05,pokec_n,5,0.6425339366515838,fairGCN_1
