FairGNN_gcn,pokec1,62.99 += 0.01,3.02 += 0.04,2.81 += 0.03
FairGNN_gat,pokec1,59.489999999999995 += 0.25,1.68 += 0.01,2.74 += 0.05
FairGNN_sage,pokec1,61.82 += 0.03,3.46 += 0.0,3.88 += 0.02

FairGNN_gcn,pokec2,60.870000000000005 += 0.01,3.82 += 0.06999999999999999,3.8699999999999997 += 0.1
FairGNN_gat,pokec2,59.099999999999994 += 0.02,4.49 += 0.02,4.109999999999999 += 0.02
FairGNN_sage,pokec2,59.47 += 0.04,3.6799999999999997 += 0.06,4.5600000000000005 += 0.02

FairGNN_gcn,nba,72.96000000000001 += 0.02,7.48 += 0.18,10.2 += 0.69
FairGNN_gat,nba,71.74000000000001 += 0.03,9.68 += 0.08,9.379999999999999 += 0.41000000000000003
FairGNN_sage,nba,74.74 += 0.01,8.14 += 0.35000000000000003,3.9899999999999998 += 0.05
