Vanilla GCN,income,70.26 += 0.0,24.98 += 0.08,24.13 += 0.12
MLP,income,76.89 += 0.0,29.439999999999998 += 0.08,22.05 += 0.25
FairGNN,income,71.50999999999999 += 0.05,16.38 += 0.38,15.15 += 0.43
Vanilla GCN,bail,83.6 += 0.12,7.960000000000001 += 0.02,5.2 += 0.01
MLP,bail,71.54 += 0.12,15.93 += 0.9400000000000001,15.24 += 0.8699999999999999
FairGNN,bail,87.45 += 0.06,7.1 += 0.01,3.09 += 0.01
Vanilla GCN,pokec1,60.45 += 0.0,3.92 += 0.09,3.19 += 0.12
MLP,pokec1,60.419999999999995 += 0.04,4.43 += 0.06999999999999999,4.84 += 0.09
FairGNN,pokec1,61.49 += 0.03,3.17 += 0.04,4.22 += 0.02
Vanilla GCN,pokec2,57.089999999999996 += 0.0,3.15 += 0.02,4.8 += 0.02
MLP,pokec2,58.75 += 0.03,4.83 += 0.06,5.75 += 0.06999999999999999
FairGNN,pokec2,58.29 += 0.03,3.61 += 0.13,3.34 += 0.06
Vanilla GCN,nba,69.77 += 0.02,5.9799999999999995 += 0.22,5.24 += 0.59
MLP,nba,69.95 += 0.02,4.96 += 0.16,5.140000000000001 += 0.13
FairGNN,nba,72.68 += 0.01,9.56 += 0.8999999999999999,8.72 += 0.13
